Key,Neighbors,Metric,Value,Algorithm
1105,19,SortingAccuracy,0.508130481,FPLV-C
1109,19,F1,0.717458654,FPLV-C
1112,20,Degree Diversity,0.815308071,FPLV-C
1113,20,MAE,0.673287332,FPLV-C
1114,20,RMSE,0.880627596,FPLV-C
1115,20,HLU,1.51241591,FPLV-C
1117,20,SortingAccuracy,0.508130481,FPLV-C
1121,20,F1,0.717458654,FPLV-C
1124,22,Degree Diversity,0.815308071,FPLV-C
1125,22,MAE,0.673287332,FPLV-C
1126,22,RMSE,0.880627596,FPLV-C
1127,22,HLU,1.51241591,FPLV-C
1129,22,SortingAccuracy,0.508130481,FPLV-C
1133,22,F1,0.717458654,FPLV-C
1136,24,Degree Diversity,0.815308071,FPLV-C
1137,24,MAE,0.673287332,FPLV-C
1138,24,RMSE,0.880627596,FPLV-C
1139,24,HLU,1.51241591,FPLV-C
1141,24,SortingAccuracy,0.508130481,FPLV-C
1145,24,F1,0.717458654,FPLV-C
1148,26,Degree Diversity,0.815308071,FPLV-C
1149,26,MAE,0.673287332,FPLV-C
1150,26,RMSE,0.880627596,FPLV-C
1151,26,HLU,1.51241591,FPLV-C
1153,26,SortingAccuracy,0.508130481,FPLV-C
1157,26,F1,0.717458654,FPLV-C
1160,28,Degree Diversity,0.815308071,FPLV-C
1161,28,MAE,0.673287332,FPLV-C
1162,28,RMSE,0.880627596,FPLV-C
1163,28,HLU,1.51241591,FPLV-C
1165,28,SortingAccuracy,0.508130481,FPLV-C
1169,28,F1,0.717458654,FPLV-C
1172,30,Degree Diversity,0.815308071,FPLV-C
1173,30,MAE,0.673287332,FPLV-C
1174,30,RMSE,0.880627596,FPLV-C
1175,30,HLU,1.51241591,FPLV-C
1177,30,SortingAccuracy,0.508130481,FPLV-C
1181,30,F1,0.717458654,FPLV-C
1184,32,Degree Diversity,0.815308071,FPLV-C
1185,32,MAE,0.673287332,FPLV-C
1186,32,RMSE,0.880627596,FPLV-C
1187,32,HLU,1.51241591,FPLV-C
1189,32,SortingAccuracy,0.508130481,FPLV-C
1193,32,F1,0.717458654,FPLV-C
1196,34,Degree Diversity,0.815308071,FPLV-C
1197,34,MAE,0.673287332,FPLV-C
1198,34,RMSE,0.880627596,FPLV-C
1199,34,HLU,1.51241591,FPLV-C
1201,34,SortingAccuracy,0.508130481,FPLV-C
1205,34,F1,0.717458654,FPLV-C
1208,36,Degree Diversity,0.815308071,FPLV-C
1209,36,MAE,0.673287332,FPLV-C
1210,36,RMSE,0.880627596,FPLV-C
1211,36,HLU,1.51241591,FPLV-C
1213,36,SortingAccuracy,0.508130481,FPLV-C
1217,36,F1,0.717458654,FPLV-C
1220,38,Degree Diversity,0.815308071,FPLV-C
1221,38,MAE,0.673287332,FPLV-C
1222,38,RMSE,0.880627596,FPLV-C
1223,38,HLU,1.51241591,FPLV-C
1225,38,SortingAccuracy,0.508130481,FPLV-C
1229,38,F1,0.717458654,FPLV-C
1232,40,Degree Diversity,0.815308071,FPLV-C
1233,40,MAE,0.673287332,FPLV-C
1234,40,RMSE,0.880627596,FPLV-C
1235,40,HLU,1.51241591,FPLV-C
1237,40,SortingAccuracy,0.508130481,FPLV-C
1241,40,F1,0.717458654,FPLV-C
